Fecha,Centro Ozono,Centro diÛxido de azufre,Centro diÛxido de nitrÛgeno,Centro monÛxido de carbono,Centro PM10
2021-01-30,28.625,14.41666667,22.16666667,7.333333333,74.58333333
2021-01-31,26.33333333,14.08333333,14.54166667,6.333333333,82.91666667
2021-02-01,22.41666667,7.833333333,10.83333333,4.083333333,52.54166667
2021-02-02,14.08333333,28.16666667,18.45833333,4.875,56.25
2021-02-03,15.45833333,22.66666667,20.54166667,6.333333333,68.66666667
2021-02-04,27.125,11,25.5,9.25,76.33333333
2021-02-05,38.79166667,8,22.29166667,9,95.91666667
2021-02-06,32.375,6.416666667,17.125,5,75.66666667
2021-02-07,34.70833333,9.25,13.625,4.5,69.125
2021-02-08,22.45833333,6.25,18.04166667,5.5,56.625
2021-02-09,27.91666667,4.25,16.125,5.875,63.54166667
2021-02-10,23.95833333,11,18.875,6.041666667,70.45833333
2021-02-11,13.20833333,5.916666667,13.58333333,8.25,71.20833333
2021-02-12,11.875,4,11.33333333,4.541666667,49.625
2021-02-13,16.625,2.583333333,11.04166667,3.583333333,42.125
2021-02-14,22.625,2,10.95833333,4,46
2021-02-15,21.83333333,2,14.83333333,4.708333333,45.375
2021-02-16,19.83333333,3.583333333,15.04166667,6.208333333,48.41666667
2021-02-17,21.70833333,2.5,15.16666667,4.583333333,49.16666667
2021-02-18,25.45833333,3.416666667,20.95833333,7.708333333,65.83333333
2021-02-19,29.25,32.20833333,20.625,6.75,89.54166667
2021-02-20,29.54166667,65.95833333,20.375,6.375,94.33333333
2021-02-21,45.75,25.125,17.33333333,5.625,82.95833333
2021-02-22,31.125,16.25,19.75,6.208333333,97.125
2021-02-23,31.66666667,35.83333333,16.5,4.166666667,96.66666667
2021-02-24,20.83333333,43.33333333,17.41666667,4.666666667,83.83333333
2021-02-25,37.75,18,16.33333333,5.458333333,77.83333333
2021-02-26,42.58333333,18.66666667,20.41666667,5.958333333,93.25
2021-02-27,51.875,12.08333333,17.625,6.083333333,94.08333333
2021-02-28,49.20833333,13.66666667,16.58333333,5.208333333,94.95833333
2021-03-01,47.41666667,13.25,19.45833333,6.875,93.54166667
2021-03-02,52.04166667,8.916666667,13.5,4.125,96.70833333
2021-03-03,39.91666667,16.75,15.83333333,4.375,90.25
2021-03-04,39,12.91666667,19.33333333,4,93.45833333
2021-03-05,27.70833333,7.5,20.79166667,5.208333333,89.625
2021-03-06,36,18.33333333,13.25,3.375,85.375
2021-03-07,23.875,25.58333333,13.625,3.833333333,75.66666667
2021-03-08,19.375,31.66666667,16.66666667,4.125,65.875
2021-03-09,21.83333333,31.5,15.66666667,4.458333333,68.08333333
2021-03-10,16.16666667,11.83333333,18.5,5.291666667,71.83333333
2021-03-11,27.04166667,6.166666667,17.20833333,5.833333333,83.625
2021-03-12,33.20833333,8.25,17.70833333,5.083333333,87.41666667
2021-03-13,37.58333333,44.125,16.08333333,5.083333333,88.66666667
2021-03-14,38.375,19.41666667,13.95833333,4.041666667,82.08333333
2021-03-15,35.29166667,8.166666667,15.83333333,4.291666667,73.58333333
