fecha,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
2018-04-21,0.4277385159010601,12.962421711899792,25.653444676409187,38.64718162839248,48.31290322580645,58.95738636363637,28.32522796352584,2.3071553228621293
2018-04-22,0.3925589836660617,6.254166666666666,19.885416666666668,26.135416666666668,45.5569823434992,41.58959537572255,26.58490566037736,2.106086956521739
2018-04-23,0.4715613382899628,10.96420581655481,24.51006711409396,35.47651006711409,40.10958904109589,44.41477272727273,27.741935483870968,2.794776119402985
2018-04-24,0.4434343434343434,12.579295154185022,26.64757709251101,39.20044052863436,34.98028673835125,47.72922252010724,28.354466858789625,2.9381044487427466
2018-04-25,0.4800353356890459,15.196531791907514,29.1252408477842,44.32562620423892,32.23779527559055,43.8359375,26.79597701149425,1.7105691056910568
2018-04-26,0.465365025466893,13.360308285163777,27.192678227360307,40.51637764932563,42.1469696969697,58.17602040816327,36.78864353312303,7.285245901639344
2018-04-27,0.4900514579759862,13.148727984344422,27.148727984344426,40.27788649706458,47.85321100917431,51.33769633507853,30.451807228915666,1.7561779242174629
2018-04-28,0.4278438030560271,11.454545454545457,24.26305609284333,35.69052224371373,39.32415902140673,48.07286432160804,29.08256880733945,2.65905383360522
2018-04-29,0.4354026845637584,9.66600397614314,21.36182902584493,31.04771371769384,43.730109204368176,46.82706766917293,32.1890243902439,2.680067001675042
2018-04-30,0.4870406189555126,13.975877192982455,25.614035087719294,39.55921052631579,38.11340206185567,45.90147783251231,25.43975903614458,1.4333333333333331
2018-05-01,0.2489465153970826,8.525812619502869,17.97131931166348,26.46845124282983,36.03183791606367,31.43132530120482,17.159375,1.4027993779160186
2018-05-02,0.4518518518518518,15.64952380952381,26.337142857142855,41.98285714285714,27.992625368731563,37.495956873315365,19.743682310469318,3.0232558139534884
2018-05-03,0.4256821829855537,15.80078125,24.55078125,40.314453125,40.101941747572816,44.60981308411215,25.106382978723403,4.271341463414634
2018-05-04,0.4572727272727273,13.096654275092936,26.07806691449814,39.19702602230483,39.41285714285714,45.39540816326531,31.503105590062116,3.2551319648093844
2018-05-05,0.2397321428571428,5.561594202898551,16.967391304347824,22.55253623188406,28.43478260869565,25.07669616519174,16.359430604982208,1.2188905547226387
2018-05-06,0.1843270868824531,4.639751552795032,14.004140786749485,18.608695652173918,28.737327188940093,21.897058823529413,12.94773519163763,11.37171052631579
2018-05-07,0.246996996996997,6.764044943820225,17.674157303370787,24.426966292134832,24.066759388038943,30.903682719546744,16.859934853420196,5.867060561299852
2018-05-08,0.443213728549142,14.038095238095238,26.64761904761905,40.71428571428572,11.76632801161103,34.578347578347575,24.30182926829268,13.606583072100314
2018-05-09,0.385423197492163,12.355212355212355,23.123552123552123,35.50965250965251,36.244152046783626,34.629411764705885,23.66773162939297,5.066037735849057
2018-05-10,0.3192789968652038,10.08,23.01904761904762,33.07047619047619,44.70887918486172,38.224489795918366,21.46417445482866,4.171875
2018-05-11,0.4147058823529412,12.304255319148936,24.634042553191488,36.94042553191489,49.10625,42.56534954407295,25.619672131147546,2.023529411764706
2018-05-12,0.3399641577060932,5.529535864978903,20.780590717299575,26.29535864978903,57.294975688816855,37.57219251336898,24.09969788519637,1.9395509499136443
2018-05-13,0.3360123647604328,4.319419237749546,18.8983666061706,23.226860254083483,52.67655367231639,36.13227513227513,24.35276073619632,1.535022354694486
2018-05-14,0.3091472868217054,9.725714285714286,21.24571428571429,30.963809523809523,44.87087087087088,45.11627906976744,26.34201954397394,13.432859399684045
2018-05-15,0.266822429906542,9.013806706114398,20.29388560157791,29.28007889546351,38.17065868263473,43.7183908045977,23.203883495145632,14.349683544303796
2018-05-16,0.3129082426127527,11.066921606118546,20.15869980879541,31.23135755258126,34.5952023988006,41.05730659025788,19.588815789473685,2.3903177004538576
2018-05-17,0.3076422764227642,10.967105263157896,20.71710526315789,31.66885964912281,35.702439024390245,40.48137535816619,20.02922077922078,4.575757575757576
2018-05-18,0.4245614035087719,16.764444444444443,26.74888888888889,43.53111111111111,45.50986842105263,47.43604651162791,22.616161616161616,4.742049469964664
2018-05-19,0.361178247734139,8.627151051625239,23.54684512428298,32.21032504780115,42.774964838255976,51.92722371967655,27.45751633986928,3.10105580693816
2018-05-20,0.3213395638629283,4.82183908045977,19.13793103448276,23.9808429118774,44.62898550724638,33.86141304347826,23.08496732026144,2.196261682242991
2018-05-21,0.4968386023294509,16.169734151329244,26.593047034764822,42.758691206543965,32.64383561643836,42.485488126649074,28.686084142394822,3.7091503267973858
2018-05-22,0.4579487179487179,17.79875518672199,25.71161825726141,43.49585062240664,35.2990506329114,46.80152671755725,28.08176100628931,5.641815235008104
2018-05-23,0.4418647166361974,15.009756097560976,26.334146341463416,41.36585365853659,39.25414364640884,48.576142131979694,26.81381381381381,2.6446886446886446
2018-05-24,0.3673387096774194,11.519823788546256,23.480176211453745,34.9647577092511,40.10122164048865,48.66494845360825,22.97826086956522,7.671102661596958
2018-05-25,0.3094076655052264,11.397705544933078,20.550669216061184,31.93881453154876,33.92203898050975,46.73697916666666,23.29153605015674,10.555735056542812
2018-05-26,0.2845217391304347,9.94831013916501,20.055666003976143,30.021868787276343,42.656477438136825,38.870466321243526,19.100946372239747,5.301857585139319
2018-05-27,0.2865619546247818,6.089641434262949,19.96414342629482,26.04183266932271,47.35575485799701,35.07673267326733,19.03846153846154,6.372670807453416
